paper_id,decision,rq_label,query,retriever_type,retrieved_contexts,retrieved_chunk_ids,similarity_scores
NIPS_2016_101,Accept,Q1_Justification,"Given the decision was 'Accept', what are the main arguments, strengths, and weaknesses mentioned in the reviews that could justify the paper's decision?",Dense (all-MiniLM-L6-v2),"['3) the experimental section could be strengthened with: - experiments on ImageNet - comparing to other approaches like [3] and [19] on at least two tasks - experiments proving the claimed improved robustness to learning rate choice - experiments using BN mean only + weight normalization on tasks other than CIFAR-10 classification - showing plots of training/test accuracy VS wall clock time -------------------------------- I have read the rebuttal and I think the authors have partially addressed my concerns.', 'That said, the experimental section of the paper is already very strong, and is definitely sufficient as it is.', 'I hope they will keep their promise to update the paper and I have increased the score accordingly.', 'This makes an proper experimental evaluation of the different models challenging.', 'Experiments show that the proposed reparametrisation leads to competitive results on various bench mark sets and improves the performance of different NN models.The suggested reparametrisation and its theoretical analysis are very interesting and I enjoyed reading the paper.']","['NIPS_2016_101_review_1_chunk_9', 'NIPS_2016_101_review_2_chunk_11', 'NIPS_2016_101_review_1_chunk_10', 'NIPS_2016_101_review_0_chunk_10', 'NIPS_2016_101_review_0_chunk_3']","[1.4099664688110352, 1.4193980693817139, 1.4359076023101807, 1.4495519399642944, 1.4750418663024902]"
NIPS_2016_101,Accept,Q1_Justification,"Given the decision was 'Accept', what are the main arguments, strengths, and weaknesses mentioned in the reviews that could justify the paper's decision?",TF-IDF (Baseline),"['However, some points in the theoretical analysis could be improved: The paper argues that the new parametrisation improves the conditioning matrix of the gradient, but neither a strong theoretical argument nor a empirical demonstration for this are given.', 'That said, the experimental section of the paper is already very strong, and is definitely sufficient as it is.', 'I hope they will keep their promise to update the paper and I have increased the score accordingly.', 'This paper proposes a simple re-parameterization of neural network layers to speed up convergence.', ""There is no mention of weight decay in the paper as far as I recall, so I'm assuming it was not used in any of the experiments.""]","['NIPS_2016_101_review_0_chunk_4', 'NIPS_2016_101_review_2_chunk_11', 'NIPS_2016_101_review_1_chunk_10', 'NIPS_2016_101_review_1_chunk_0', 'NIPS_2016_101_review_2_chunk_19']","[0.20270975888872522, 0.09015263722516287, 0.08568724014044782, 0.08086120936502665, 0.0783143981722118]"
NIPS_2016_101,Accept,Q2_Disagreement,"Identify specific points of notable disagreement or contrasting opinions between reviewers regarding this paper's methods, results, or conclusions.",Dense (all-MiniLM-L6-v2),"['This makes an proper experimental evaluation of the different models challenging.', 'Several reported runs would moreover allow for statements about statistical significant performance differences.', 'The method is evaluated in these settings (as well as for supervised learning) and shown to consistently improve convergence, and sometimes performance as well.', 'The idea is simple, well presented and it seems effective.', 'Experiments show that the proposed reparametrisation leads to competitive results on various bench mark sets and improves the performance of different NN models.The suggested reparametrisation and its theoretical analysis are very interesting and I enjoyed reading the paper.']","['NIPS_2016_101_review_0_chunk_10', 'NIPS_2016_101_review_0_chunk_12', 'NIPS_2016_101_review_2_chunk_4', 'NIPS_2016_101_review_1_chunk_4', 'NIPS_2016_101_review_0_chunk_3']","[1.3247190713882446, 1.3737555742263794, 1.453615665435791, 1.468057632446289, 1.5300897359848022]"
NIPS_2016_101,Accept,Q2_Disagreement,"Identify specific points of notable disagreement or contrasting opinions between reviewers regarding this paper's methods, results, or conclusions.",TF-IDF (Baseline),"['It would be interesting to see how the other methods performed on this tasks as well.', 'Would have further training improved the results?', 'Regarding the experimental part: Except from the experiments on MNIST in section 5.2 each experiment is only run once (i.e.', 'However, some points in the theoretical analysis could be improved: The paper argues that the new parametrisation improves the conditioning matrix of the gradient, but neither a strong theoretical argument nor a empirical demonstration for this are given.', 'Did the authors made sure that the observed differences were not only observes for this specific initialisation and was the same initialisation shared by all models?']","['NIPS_2016_101_review_0_chunk_14', 'NIPS_2016_101_review_0_chunk_21', 'NIPS_2016_101_review_0_chunk_8', 'NIPS_2016_101_review_0_chunk_4', 'NIPS_2016_101_review_0_chunk_11']","[0.15398184233136902, 0.1440534390798932, 0.13538097126351645, 0.1072164050532583, 0.10186309383733122]"
ICLR_2020_1216,Reject,Q1_Justification,"Given the decision was 'Reject', what are the main arguments, strengths, and weaknesses mentioned in the reviews that could justify the paper's decision?",Dense (all-MiniLM-L6-v2),"['The paper is well structured and thorough.', 'The overall score of this paper is slightly positive.', 'Even though the performance gains demonstrated are sizeable, the fact the approach does not seem TPU specific and is potentially problem specific makes me lean towards rejection.', 'It is essentially a collection of engineering steps that improve the time to validation accuracy.', 'My assessment is that the scope of this work is far too narrow.']","['ICLR_2020_1216_review_1_chunk_4', 'ICLR_2020_1216_review_2_chunk_3', 'ICLR_2020_1216_review_1_chunk_26', 'ICLR_2020_1216_review_0_chunk_2', 'ICLR_2020_1216_review_0_chunk_4']","[1.275429368019104, 1.276636004447937, 1.3580480813980103, 1.4806032180786133, 1.507304310798645]"
ICLR_2020_1216,Reject,Q1_Justification,"Given the decision was 'Reject', what are the main arguments, strengths, and weaknesses mentioned in the reviews that could justify the paper's decision?",TF-IDF (Baseline),"['The paper is well structured and thorough.', 'In that situation, the contributions of this paper would be nullified.', 'It is for these reasons that I think the paper is not appropriate for ICLR.', 'The overall score of this paper is slightly positive.', 'This paper proposes a method to train graph neural networks on dense hardware such as TPUs.']","['ICLR_2020_1216_review_1_chunk_4', 'ICLR_2020_1216_review_1_chunk_13', 'ICLR_2020_1216_review_0_chunk_7', 'ICLR_2020_1216_review_2_chunk_3', 'ICLR_2020_1216_review_2_chunk_0']","[0.2954515351374889, 0.24482329872719963, 0.2222261100304244, 0.21362981745500864, 0.1620986965925537]"
ICLR_2020_1216,Reject,Q2_Disagreement,"Identify specific points of notable disagreement or contrasting opinions between reviewers regarding this paper's methods, results, or conclusions.",Dense (all-MiniLM-L6-v2),"['The paper is well structured and thorough.', 'The overall score of this paper is slightly positive.', 'It is essentially a collection of engineering steps that improve the time to validation accuracy.', 'My small exposition to these problem does not allow me to make any meaningful suggestion.', 'The method in Ma et al.']","['ICLR_2020_1216_review_1_chunk_4', 'ICLR_2020_1216_review_2_chunk_3', 'ICLR_2020_1216_review_0_chunk_2', 'ICLR_2020_1216_review_1_chunk_16', 'ICLR_2020_1216_review_2_chunk_8']","[1.1376405954360962, 1.152031421661377, 1.4882550239562988, 1.4948451519012451, 1.4987491369247437]"
ICLR_2020_1216,Reject,Q2_Disagreement,"Identify specific points of notable disagreement or contrasting opinions between reviewers regarding this paper's methods, results, or conclusions.",TF-IDF (Baseline),"['Since these optimizations are not TPU specific and have not been applied in the GPU based GNN libraries referenced in this paper reinforce my concerns that they are problem-specific.', 'Even though the performance gains demonstrated are sizeable, the fact the approach does not seem TPU specific and is potentially problem specific makes me lean towards rejection.', 'The paper is well structured and thorough.', 'At least, it is recommended to compare the results with training on several GPUs using data-parallel execution implemented in TensorFlow (or any other suitable frameworks).', 'Sometimes, knowing how arrange common primitives is very powerful, and looking at the results of the experimental section, this is enough to improve performance by almost two orders of magnitude.']","['ICLR_2020_1216_review_1_chunk_25', 'ICLR_2020_1216_review_1_chunk_26', 'ICLR_2020_1216_review_1_chunk_4', 'ICLR_2020_1216_review_2_chunk_11', 'ICLR_2020_1216_review_1_chunk_9']","[0.22299671080505223, 0.15829559430139423, 0.13827435220106263, 0.12993421720836204, 0.1261113936615736]"
ICLR_2017_483,Reject,Q1_Justification,"Given the decision was 'Reject', what are the main arguments, strengths, and weaknesses mentioned in the reviews that could justify the paper's decision?",Dense (all-MiniLM-L6-v2),"['Pros: + The paper is clear and well-written.', 'Apologies for the late review.', 'I think the proposed evaluation metrics are flawed, especially when evaluating the diversity of the samples for the aforementioned reasons.', 'The main contributions are as follows: - Adding an auxiliary classifier head to a GAN discriminator and training a classification objective in addition to the real/fake objective improves performance.', 'Overall, this paper makes a clear contribution to GAN research both in terms of image quality and evaluation metrics and I would recommend it for acceptance.']","['ICLR_2017_483_review_2_chunk_3', 'ICLR_2017_483_review_0_chunk_0', 'ICLR_2017_483_review_0_chunk_19', 'ICLR_2017_483_review_1_chunk_1', 'ICLR_2017_483_review_1_chunk_15']","[1.12825345993042, 1.305922508239746, 1.373591423034668, 1.5948916673660278, 1.651235580444336]"
ICLR_2017_483,Reject,Q1_Justification,"Given the decision was 'Reject', what are the main arguments, strengths, and weaknesses mentioned in the reviews that could justify the paper's decision?",TF-IDF (Baseline),"['I think this method is significantly flawed and limited, for reasons mentioned in (Theis et al, 2015, A note on the evaluation…).', 'Pros: + The paper is clear and well-written.', 'This paper introduces a class-conditional GAN as a generative model for images.', 'It introduces two main diagnostic tools for training GANs: one to assess whether a model is making full use of its output resolution and another to measure the diversity of generated samples.', 'The main contributions are as follows: - Adding an auxiliary classifier head to a GAN discriminator and training a classification objective in addition to the real/fake objective improves performance.']","['ICLR_2017_483_review_0_chunk_11', 'ICLR_2017_483_review_2_chunk_3', 'ICLR_2017_483_review_2_chunk_0', 'ICLR_2017_483_review_2_chunk_1', 'ICLR_2017_483_review_1_chunk_1']","[0.12001463687114501, 0.11693801892658258, 0.09337166366761948, 0.09220352884913466, 0.08386218899847367]"
